RZERO,PPM,DATE
1975.07,739.90,2019-03-31 01:35:09
1975.07,739.90,2019-03-31 01:35:10
1975.07,739.90,2019-03-31 01:35:11
1975.07,739.90,2019-03-31 01:35:12
1975.07,739.90,2019-03-31 01:35:13
1975.07,739.90,2019-03-31 01:35:14
1975.07,739.90,2019-03-31 01:35:15
1975.07,739.90,2019-03-31 01:35:16
1975.07,739.90,2019-03-31 01:35:17
1975.07,739.90,2019-03-31 01:35:18
1975.07,739.90,2019-03-31 01:35:19
1975.07,739.90,2019-03-31 01:35:20
1975.07,739.90,2019-03-31 01:35:21
1975.07,739.90,2019-03-31 01:35:22
1975.07,739.90,2019-03-31 01:35:23
1975.07,739.90,2019-03-31 01:35:24
1975.07,739.90,2019-03-31 01:35:25
1975.07,739.90,2019-03-31 01:35:26
1975.07,739.90,2019-03-31 01:35:27
1975.07,739.90,2019-03-31 01:35:28
1975.07,739.90,2019-03-31 01:35:29
1975.07,739.90,2019-03-31 01:35:30
1975.07,739.90,2019-03-31 01:35:31
1975.07,739.90,2019-03-31 01:35:32
1975.07,739.90,2019-03-31 01:35:33
1975.07,739.90,2019-03-31 01:35:34
1975.07,739.90,2019-03-31 01:35:35
1975.07,739.90,2019-03-31 01:35:36
1975.07,739.90,2019-03-31 01:35:37
1975.07,739.90,2019-03-31 01:35:38
1975.07,739.90,2019-03-31 01:35:39
1975.07,739.90,2019-03-31 01:35:40
1975.07,739.90,2019-03-31 01:35:41
1975.07,739.90,2019-03-31 01:35:42
1975.07,739.90,2019-03-31 01:35:43
1975.07,739.90,2019-03-31 01:35:44
1975.07,739.90,2019-03-31 01:35:45
1975.07,739.90,2019-03-31 01:35:46
1975.07,739.90,2019-03-31 01:35:47
1975.07,739.90,2019-03-31 01:35:48
1975.07,739.90,2019-03-31 01:35:49
1975.07,739.90,2019-03-31 01:35:50
2026.11,739.90,2019-03-31 01:35:51
1975.07,739.90,2019-03-31 01:35:52
1975.07,739.90,2019-03-31 01:35:53
1975.07,739.90,2019-03-31 01:35:54
1975.07,739.90,2019-03-31 01:35:55
1975.07,739.90,2019-03-31 01:35:56
1975.07,739.90,2019-03-31 01:35:57
1975.07,739.90,2019-03-31 01:35:58
1975.07,739.90,2019-03-31 01:35:59
1975.07,739.90,2019-03-31 01:36:00
2026.11,739.90,2019-03-31 01:36:01
1975.07,739.90,2019-03-31 01:36:02
1975.07,739.90,2019-03-31 01:36:03
1975.07,739.90,2019-03-31 01:36:04
1975.07,739.90,2019-03-31 01:36:05
1975.07,739.90,2019-03-31 01:36:06
1975.07,739.90,2019-03-31 01:36:07
1975.07,739.90,2019-03-31 01:36:08
1975.07,739.90,2019-03-31 01:36:09
1975.07,739.90,2019-03-31 01:36:10
1975.07,739.90,2019-03-31 01:36:11
1975.07,739.90,2019-03-31 01:36:12
1975.07,739.90,2019-03-31 01:36:13
1975.07,739.90,2019-03-31 01:36:14
1975.07,739.90,2019-03-31 01:36:15
1975.07,739.90,2019-03-31 01:36:16
1975.07,739.90,2019-03-31 01:36:17
2026.11,739.90,2019-03-31 01:36:18
1975.07,739.90,2019-03-31 01:36:19
1975.07,739.90,2019-03-31 01:36:20
2026.11,739.90,2019-03-31 01:36:21
2026.11,739.90,2019-03-31 01:36:22
1975.07,739.90,2019-03-31 01:36:23
1975.07,739.90,2019-03-31 01:36:24
1975.07,739.90,2019-03-31 01:36:25
1975.07,739.90,2019-03-31 01:36:26
1975.07,739.90,2019-03-31 01:36:27
1975.07,739.90,2019-03-31 01:36:28
2026.11,739.90,2019-03-31 01:36:29
1975.07,739.90,2019-03-31 01:36:30
1975.07,739.90,2019-03-31 01:36:31
1975.07,739.90,2019-03-31 01:36:32
1975.07,739.90,2019-03-31 01:36:33
1975.07,739.90,2019-03-31 01:36:34
2026.11,739.90,2019-03-31 01:36:35
1975.07,739.90,2019-03-31 01:36:36
1975.07,739.90,2019-03-31 01:36:37
2026.11,739.90,2019-03-31 01:36:38
2026.11,739.90,2019-03-31 01:36:39
2026.11,739.90,2019-03-31 01:36:40
1975.07,739.90,2019-03-31 01:36:41
2026.11,739.90,2019-03-31 01:36:42
2026.11,739.90,2019-03-31 01:36:43
2026.11,739.90,2019-03-31 01:36:44
1975.07,739.90,2019-03-31 01:36:45
2026.11,739.90,2019-03-31 01:36:46
1975.07,739.90,2019-03-31 01:36:47
2026.11,739.90,2019-03-31 01:36:48
1975.07,739.90,2019-03-31 01:36:49
1975.07,739.90,2019-03-31 01:36:50
2026.11,739.90,2019-03-31 01:36:51
1975.07,739.90,2019-03-31 01:36:52
2026.11,739.90,2019-03-31 01:36:53
1975.07,739.90,2019-03-31 01:36:54
2026.11,739.90,2019-03-31 01:36:55
1975.07,739.90,2019-03-31 01:36:56
1975.07,689.43,2019-03-31 01:36:57
2026.11,739.90,2019-03-31 01:36:58
1975.07,739.90,2019-03-31 01:36:59
1975.07,739.90,2019-03-31 01:37:00
1975.07,739.90,2019-03-31 01:37:01
1975.07,689.43,2019-03-31 01:37:02
2026.11,739.90,2019-03-31 01:37:03
2026.11,739.90,2019-03-31 01:37:04
1975.07,739.90,2019-03-31 01:37:05
2026.11,739.90,2019-03-31 01:37:06
2026.11,689.43,2019-03-31 01:37:07
2026.11,739.90,2019-03-31 01:37:08
1975.07,739.90,2019-03-31 01:37:09
1975.07,739.90,2019-03-31 01:37:10
2026.11,739.90,2019-03-31 01:37:11
2026.11,739.90,2019-03-31 01:37:12
2026.11,739.90,2019-03-31 01:37:13
2026.11,739.90,2019-03-31 01:37:14
2026.11,739.90,2019-03-31 01:37:15
1975.07,689.43,2019-03-31 01:37:16
2026.11,739.90,2019-03-31 01:37:17
2026.11,739.90,2019-03-31 01:37:18
1975.07,739.90,2019-03-31 01:37:19
2026.11,739.90,2019-03-31 01:37:20
2026.11,739.90,2019-03-31 01:37:21
1975.07,739.90,2019-03-31 01:37:22
1975.07,739.90,2019-03-31 01:37:23
2026.11,739.90,2019-03-31 01:37:24
2026.11,739.90,2019-03-31 01:37:25
2026.11,739.90,2019-03-31 01:37:26
2026.11,739.90,2019-03-31 01:37:27
1975.07,739.90,2019-03-31 01:37:28
2026.11,739.90,2019-03-31 01:37:29
1975.07,739.90,2019-03-31 01:37:30
2026.11,739.90,2019-03-31 01:37:31
1975.07,739.90,2019-03-31 01:37:32
1975.07,739.90,2019-03-31 01:37:33
1975.07,792.69,2019-03-31 01:37:34
1926.52,792.69,2019-03-31 01:37:35
1926.52,792.69,2019-03-31 01:37:36
1926.52,792.69,2019-03-31 01:37:37
1926.52,792.69,2019-03-31 01:37:38
1926.52,792.69,2019-03-31 01:37:39
1926.52,792.69,2019-03-31 01:37:40
1926.52,792.69,2019-03-31 01:37:41
1926.52,792.69,2019-03-31 01:37:42
1926.52,792.69,2019-03-31 01:37:43
1926.52,792.69,2019-03-31 01:37:44
1926.52,792.69,2019-03-31 01:37:45
1926.52,792.69,2019-03-31 01:37:46
1926.52,792.69,2019-03-31 01:37:47
1926.52,792.69,2019-03-31 01:37:48
1926.52,792.69,2019-03-31 01:37:49
1926.52,792.69,2019-03-31 01:37:50
1926.52,792.69,2019-03-31 01:37:51
1926.52,792.69,2019-03-31 01:37:52
1926.52,792.69,2019-03-31 01:37:53
1926.52,792.69,2019-03-31 01:37:54
1926.52,792.69,2019-03-31 01:37:55
1926.52,792.69,2019-03-31 01:37:56
1926.52,792.69,2019-03-31 01:37:57
1926.52,792.69,2019-03-31 01:37:58
1926.52,792.69,2019-03-31 01:37:59
1926.52,792.69,2019-03-31 01:38:00
1926.52,792.69,2019-03-31 01:38:01
1975.07,792.69,2019-03-31 01:38:02
1926.52,792.69,2019-03-31 01:38:03
1975.07,792.69,2019-03-31 01:38:04
1975.07,792.69,2019-03-31 01:38:05
1975.07,792.69,2019-03-31 01:38:06
1975.07,792.69,2019-03-31 01:38:07
1975.07,739.90,2019-03-31 01:38:08
1975.07,792.69,2019-03-31 01:38:09
1975.07,739.90,2019-03-31 01:38:10
1975.07,739.90,2019-03-31 01:38:11
1975.07,739.90,2019-03-31 01:38:12
1975.07,739.90,2019-03-31 01:38:13
1975.07,739.90,2019-03-31 01:38:14
1975.07,739.90,2019-03-31 01:38:15
1975.07,739.90,2019-03-31 01:38:16
1975.07,739.90,2019-03-31 01:38:17
1975.07,739.90,2019-03-31 01:38:18
1975.07,739.90,2019-03-31 01:38:19
1975.07,739.90,2019-03-31 01:38:20
1975.07,739.90,2019-03-31 01:38:21
1975.07,739.90,2019-03-31 01:38:22
1975.07,739.90,2019-03-31 01:38:23
1975.07,739.90,2019-03-31 01:38:24
1975.07,739.90,2019-03-31 01:38:25
1975.07,739.90,2019-03-31 01:38:26
1975.07,739.90,2019-03-31 01:38:27
1975.07,739.90,2019-03-31 01:38:28
1975.07,739.90,2019-03-31 01:38:29
1975.07,739.90,2019-03-31 01:38:30
1975.07,739.90,2019-03-31 01:38:31
1975.07,739.90,2019-03-31 01:38:32
1975.07,739.90,2019-03-31 01:38:33
1975.07,739.90,2019-03-31 01:38:34
1975.07,739.90,2019-03-31 01:38:35
1975.07,739.90,2019-03-31 01:38:36
1975.07,739.90,2019-03-31 01:38:37
1975.07,739.90,2019-03-31 01:38:38
1975.07,739.90,2019-03-31 01:38:39
1975.07,739.90,2019-03-31 01:38:40
1975.07,739.90,2019-03-31 01:38:41
1975.07,739.90,2019-03-31 01:38:42
1975.07,739.90,2019-03-31 01:38:43
1975.07,739.90,2019-03-31 01:38:44
1975.07,739.90,2019-03-31 01:38:45
1975.07,739.90,2019-03-31 01:38:46
1975.07,739.90,2019-03-31 01:38:47
1975.07,739.90,2019-03-31 01:38:48
1975.07,739.90,2019-03-31 01:38:49
1975.07,739.90,2019-03-31 01:38:50
1975.07,739.90,2019-03-31 01:38:51
1975.07,739.90,2019-03-31 01:38:52
1975.07,739.90,2019-03-31 01:38:53
1975.07,739.90,2019-03-31 01:38:54
1975.07,739.90,2019-03-31 01:38:55
1975.07,739.90,2019-03-31 01:38:56
1975.07,739.90,2019-03-31 01:38:57
1975.07,739.90,2019-03-31 01:38:58
1975.07,739.90,2019-03-31 01:38:59
1975.07,739.90,2019-03-31 01:39:00
1975.07,739.90,2019-03-31 01:39:01
1975.07,739.90,2019-03-31 01:39:02
1975.07,739.90,2019-03-31 01:39:03
2026.11,739.90,2019-03-31 01:39:04
1975.07,739.90,2019-03-31 01:39:05
